407
	Pos.	Nro	Corredor	Localidad	Vtas	V 1	V 2	tm Final	km/h	Dif.Ant.	Dif.1°	Pts.
408
	1	1326	IVAN, BELEDO		1	01:18:36		01:18:36	24.43			35
409
	2	1337	MARIANO, AMONDARAY	SAG MTB TEAM	1	01:19:08		01:19:08	24.26	00:00:33	00:00:33	29
410
	3	1333	NICOLAS MARTIN, BENITEZ		1	01:21:50		01:21:50	23.46	00:02:41	00:03:14	24
411
	4	1308	SERGIO, ZAYA	TEAM SERVICES BIKE	1	01:22:28		01:22:28	23.28	00:00:38	00:03:52	20
412
	5	1312	GONZALO, RIENZI		1	01:22:58		01:22:58	23.14	00:00:30	00:04:22	17
413
	6	1300	MATIAS, ESCALANTE	TEC BIKE TEAM	1	01:23:27		01:23:27	23.01	00:00:30	00:04:52	15
414
	7	1334	ADRIAN, DI BATTISTA	SAG MTB TEAM	1	01:23:52		01:23:52	22.89	00:00:25	00:05:16	14
415
	8	1302	NICOLAS, LUCIDI	VAMP CYCLING TRAINING	1	01:23:55		01:23:55	22.88	00:00:03	00:05:20	13
416
	9	1317	LEANDRO, BUTERA	BUTEAM	1	01:26:23		01:26:23	22.23	00:02:27	00:07:47	12
417
	10	1331	JOAQUIN, SORIANELLO		1	01:27:04		01:27:04	22.05	00:00:42	00:08:29	11
418
	11	1310	DIEGO, LLORENTE	EPIC BIKE	1	01:27:17		01:27:17	22.00	00:00:12	00:08:41	10
419
	12	1321	JORGE, ESCOBAR		1	01:27:48		01:27:48	21.87	00:00:31	00:09:12	9
420
	13	1329	EDUARDO, OVEJERO		1	01:29:09		01:29:09	21.54	00:01:21	00:10:34	8
421
	14	1325	ISAÍAS, SALABERRY		1	01:29:57		01:29:57	21.35	00:00:48	00:11:21	7
422
	15	1332	NICOLAS, VELLON		1	01:31:22		01:31:22	21.01	00:01:25	00:12:46	6
423
	16	1328	SERGIO, BASSOLI		1	01:31:38		01:31:38	20.95	00:00:16	00:13:02	5
424
	17	1336	JULIAN, BRAUER LARRABURU		1	01:32:36		01:32:36	20.74	00:00:58	00:14:00	4
425
	18	1327	SEBASTIAN, LANDGRAF		1	01:33:17		01:33:17	20.58	00:00:41	00:14:41	3
426
	19	1303	INTI BENJAMIN, GUTIERREZ MARTINEZ	VAMP CYCLING TRAINING	1	01:35:57		01:35:57	20.01	00:02:41	00:17:22	2
427
	20	1315	JORGE, CARABAJAL		1	01:36:03		01:36:03	19.99	00:00:06	00:17:28	1
428
	21	1335	JUAN IGNACIO, LUISE		1	01:38:15		01:38:15	19.54	00:02:12	00:19:40	0
429
	22	1313	BENJAMIN, OLVERA		1	01:38:26		01:38:26	19.50	00:00:11	00:19:51	0
430
	23	1320	LEANDRO FACUNDO, VETTORAZZO		1	01:39:04		01:39:04	19.38	00:00:38	00:20:28	0
431
	24	1311	LEONEL ANGEL, RAMIREZ MACHUCA		1	01:44:51		01:44:51	18.31	00:05:47	00:26:15	0
432
	25	1324	MARTIN, QUINTEROS ROMERO		1	01:47:43		01:47:43	17.82	00:02:52	00:29:07	0
433
	26	1306	ALEJANDRO, MAIO JUARROS	TEAM SERVICES BIKE	1	01:47:52		01:47:52	17.80	00:00:09	00:29:16	0
434
	27	1301	RICARDO MARTIN, GOMEZ		1	01:47:58		01:47:58	17.78	00:00:06	00:29:22	0
435
	28	1314	DARIO, RAMIREZ	BUTEAM	1	01:51:47		01:51:47	17.18	00:03:49	00:33:11	0
436
	29	1330	LUCAS, GARCÍA		1	01:59:19		01:59:19	16.09	00:07:32	00:40:43	0
